iter	Passed	Remaining
687	1182	536
688	1184	534
689	1185	532
690	1186	530
691	1187	528
692	1188	526
693	1189	524
694	1190	522
695	1191	520
696	1193	518
697	1194	516
698	1195	514
699	1196	512
700	1199	511
701	1200	509
702	1201	507
703	1202	505
704	1203	503
705	1204	501
706	1205	499
707	1206	497
708	1207	495
709	1208	493
710	1209	491
711	1210	489
712	1211	487
713	1213	485
714	1214	484
715	1216	482
716	1217	480
717	1218	478
718	1219	476
719	1220	474
720	1221	472
721	1222	470
722	1224	469
723	1225	467
724	1226	465
725	1228	463
726	1229	461
727	1231	459
728	1232	457
729	1233	456
730	1234	454
731	1235	452
732	1236	450
733	1237	448
734	1238	446
735	1239	444
736	1240	442
737	1241	440
738	1244	439
739	1245	437
740	1246	435
741	1247	433
742	1248	431
743	1249	430
744	1252	428
745	1253	426
746	1254	424
747	1256	423
748	1257	421
749	1259	419
750	1260	417
751	1261	416
752	1262	414
753	1263	412
754	1264	410
755	1266	408
756	1267	406
757	1268	405
758	1270	403
759	1271	401
760	1272	399
761	1274	397
762	1275	396
763	1277	394
764	1278	392
765	1279	390
766	1280	389
767	1281	387
768	1282	385
769	1283	383
770	1284	381
771	1285	379
772	1287	378
773	1288	376
774	1289	374
775	1291	372
776	1292	371
777	1294	369
778	1295	367
779	1296	365
780	1297	363
781	1298	361
782	1299	360
783	1300	358
784	1301	356
785	1303	354
786	1304	352
787	1305	351
788	1307	349
789	1308	347
790	1309	346
791	1310	344
792	1311	342
793	1313	340
794	1314	338
795	1315	337
796	1316	335
797	1318	333
798	1319	331
799	1320	330
800	1321	328
801	1323	326
802	1324	324
803	1325	323
804	1326	321
805	1327	319
806	1328	317
807	1329	316
808	1333	314
809	1334	312
810	1335	311
811	1337	309
812	1338	307
813	1338	305
814	1339	304
815	1340	302
816	1341	300
817	1342	298
818	1344	297
819	1345	295
820	1346	293
821	1349	292
822	1350	290
823	1351	288
824	1352	286
825	1353	285
826	1355	283
827	1356	281
828	1357	279
829	1358	278
830	1359	276
831	1360	274
832	1363	273
833	1364	271
834	1365	269
835	1366	268
836	1367	266
837	1368	264
838	1369	262
839	1370	261
840	1371	259
841	1372	257
842	1373	255
843	1374	254
844	1375	252
845	1380	251
846	1381	249
847	1382	247
848	1383	246
849	1385	244
850	1386	242
851	1387	241
852	1389	239
853	1390	237
854	1391	235
855	1392	234
856	1394	232
857	1395	230
858	1396	229
859	1397	227
860	1398	225
861	1400	224
862	1401	222
